,[CHUCK] – Phileum Collins,,,,,,,,,,,,,"2026-01-26
Stag was definitely not cheating",,,,,
Name,Phileum Collins,,,,,,Skills,,,,,,,,,,,,
Race,Human,,,,,,,Total,ACP,Skill,Bonus,Abil,,,C,M,C,M,
Alignment,LG,,90 HP,,,,Appraise,0,,0,,0,U,Int,1,1,0,,
Size,M,,,,,,Balance,-1,-6,0,0,-1,U,Dex,1,1,0,,
Sex,M,,,,,,Bluff,1,,0,,1,U,Cha,2,1,0,,
Age,,,,,,,Climb,-2,-7,0,,-2,U,Str,1,1,0,,
Height,,,,,,,Concentration,17,,15,,2,U,Con,2,2,12,3,===============
Weight,,,,,,,Craft (),0,,0,,0,U,Int,2,2,0,,
Eyes,,,,,,,Decipher Script,0,,0,,0,T,Int,1,1,0,,
Hair,,,,,,,Diplomacy,6,,5,0,1,U,Cha,2,2,3,2,=====
Complexion,,,,,,,Disable Device,0,,0,,0,T,Int,1,1,0,,
Build,,,,,,,Disguise,1,,0,,1,U,Cha,2,1,0,,
,,,Nonlethal:,,,,Escape Artist,-1,-6,0,,-1,U,Dex,1,1,0,,
HD,9d8 + 3d4 + 24,,,,,,Forgery,0,,0,,0,U,Int,1,1,0,,
HP,90,66,Mods,21,pb,mod,Gather Information,1,,0,0,1,U,Cha,1,1,0,,
Str,7,,-2,,7,,Handle Animal,1,,0,,1,T,Cha,1,1,0,,
Dex,8,,-1,,8,,Heal,4,,0,,4,U,Wis,2,2,0,,
Con,14,,2,,14,,Hide,-1,-6,0,,-1,U,Dex,2,1,0,,
Int,10,,0,,10,,Intimidate,1,,0,0,1,U,Cha,1,1,0,,
Wis,18,,4,,18,,Jump,-8,-13,0,-6,-2,U,Str,1,1,0,,
Cha,12,,1,,12,,Knowledge (arcana),5,,5,,0,T,Int,2,2,5,0,=====
Saves,,,Pack,19.5,,,Knowledge (arch & eng),0,,0,,0,T,Int,1,1,0,,
,,,Equipped,30.8,,,Knowledge (dungeon),0,,0,,0,T,Int,1,1,0,,
Fort,8,,Total,50.3,,,Knowledge (geography),0,,0,,0,T,Int,1,1,0,,
Ref,2,,Drag,1500,,,Knowledge (history),0,,0,,0,T,Int,1,1,0,,
Will,10,,Lift,600,,,Knowledge (local),0,,0,,0,T,Int,1,1,0,,
Speed,20,,Max Load,300,,,Knowledge (nature),0,,0,,0,T,Int,1,1,0,,
Melee,6,,Medium,200,,,Knowledge (nob & roy),0,,0,,0,T,Int,1,1,0,,
Ranged,7,,Light,100,,,Knowledge (religion),6,,6,,0,T,Int,2,2,4,2,======
Grapple,6,,Value,78000,,,Knowledge (planes),10,,10,,0,T,Int,2,2,7,3,==========
Initiative,-1,,Money,0,Gp,,Listen,4,,0,,4,U,Wis,1,1,0,,
BAB +8/+3,8,1,,0,XP,,Move Silently,-1,-6,0,,-1,U,Dex,1,1,0,,
HD,12,Att,skill,plus,51,HD,Open Lock,-1,,0,,-1,T,Dex,1,1,0,,
Cleric,9,0.75,3,3,36,8,Perform (),1,,0,,1,U,Cha,1,1,0,,
Mystic,3,0.75,5,0,15,4,Profession,4,,0,,4,T,Wis,2,2,0,,
,,,,,,,Ride,1,,2,,-1,U,Dex,1,1,1,3,==
,,,,,,,Search,0,,0,,0,U,Int,1,1,0,,
10+9(armor)+0(shield)+1(deflection)+0(natural)-1(DEX),,,,,,,Sense Motive,4,,0,,4,U,Wis,1,1,0,,
ACP,-5,,,,,,Sleight of Hand,-1,-6,0,0,-1,T,Dex,1,1,0,,
Armor,9,19,Max,AC,,,Speak Language,0,,0,,,T,None,1,1,0,,
Deflection Ring,1,10,Touch,,,,Spellcraft,8,,6,2,0,T,Int,2,2,3,3,======
Natural Amulet,0,19,Unaware,,,,Spot,4,,0,,4,U,Wis,1,1,0,,
Dex,-1,,,,,,Survival,4,,0,,4,U,Wis,1,1,0,,
Hvy Steel Shield,0,,,,,,Swim,-2,-12,0,,-2,U,Str,1,1,0,,
,,,,,,,Tumble,-1,-6,0,0,-1,T,Dex,1,1,0,,
