,[HIBL] – Burley,,,,,,,,,,,,,"2026-01-26
Stag was definitely not cheating",,,,,
Name,"""Burley"" Darkburle Blue",,,,,,Skills,,,,,,,,,,,,
Race,Elven,,,,,,,Total,ACP,Skill,Bonus,Abil,,,S,,S,,
Alignment,CN,,51 HP,,,,Appraise,0,,0,,0,U,Int,1,,,,
Size,M,,,,,,Balance,4,4,0,0,4,U,Dex,1,,,,
Sex,M,,,,,,Bluff,8,,2,,6,U,Cha,2,,2,,==
Age,127,,,,,,Climb,-2,-2,0,,-2,U,Str,1,,,,
Height,,,,,,,Concentration,11,,11,,0,U,Con,2,,11,,===========
Weight,,,,,,,Craft (),0,,0,,0,U,Int,2,,,,
Eyes,,,,,,,Decipher Script,0,,0,,0,T,Int,1,,,,
Hair,,,,,,,Diplomacy,6,,0,0,6,U,Cha,1,,,,
Complexion,,,,,,,Disable Device,0,,0,,0,T,Int,1,,,,
Build,,,,,,,Disguise,6,,0,,6,U,Cha,1,,,,
,,,Nonlethal:,,,,Escape Artist,4,4,0,,4,U,Dex,1,,,,
HD,13d4 + 13 + 0,,,,/42,,Forgery,0,,0,,0,U,Int,1,,,,
HP,51,38,Mods,27,pb,mod,Gather Information,6,,0,0,6,U,Cha,1,,,,
Str,7,,-2,,7,,Handle Animal,6,,0,,6,T,Cha,1,,,,
Dex,18,2,4,2,14,,Heal,1,,0,2,-1,U,Wis,1,,,,
Con,10,,0,-1,11,,Hide,4,4,0,,4,U,Dex,1,,,,
Int,10,,0,,10,,Intimidate,6,,0,0,6,U,Cha,1,,,,
Wis,8,,-1,,8,,Jump,0,0,0,2,-2,U,Str,1,,,,
Cha,22,2,6,1,19,6,Knowledge (arcana),0,,0,,0,T,Int,2,,,,
Saves,,,Pack,39.3,,,Knowledge (arch & eng),0,,0,,0,T,Int,1,,,,
,,,Equipped,13.6,,,Knowledge (dungeon),0,,0,,0,T,Int,1,,,,
Fort,8,4,Total,52.9,,,Knowledge (geography),0,,0,,0,T,Int,1,,,,
Ref,12,4,Drag,350,,,Knowledge (history),0,,0,,0,T,Int,1,,,,
Will,11,4,Lift,140,,,Knowledge (local),0,,0,,0,T,Int,1,,,,
Speed,30,,Max Load,70,,,Knowledge (nature),0,,0,,0,T,Int,1,,,,
Melee,4,,Medium,46,,,Knowledge (nob & roy),0,,0,,0,T,Int,1,,,,
Ranged,10,,Light,23,,,Knowledge (religion),0,,0,,0,T,Int,1,,,,
Grapple,4,,Value,112239.72,,,Knowledge (planes),0,,0,,0,T,Int,1,,,,
Initiative,8,4,Money,1005,Gp,,Listen,1,,0,2,-1,U,Wis,1,,,,
BAB,6,1,,79305,XP,,Move Silently,4,4,0,,4,U,Dex,1,,,,
HD,13,Att,skill,plus,32,HD,Open Lock,4,,0,,4,T,Dex,1,,,,
Sorcerer,13,0.5,2,3,32,4,Perform (),6,,0,,6,U,Cha,1,,,,
,0,0,0,0,0,0,Profession,-1,,0,,-1,T,Wis,1,,,,
,,,,,,,Ride,4,,0,,4,U,Dex,1,,,,
,,,,,,,Search,2,,0,2,0,U,Int,1,,,,
10+5(armor)+0(shield)+2(deflection)+3(natural)+4(DEX),,,,,,,Sense Motive,-1,,0,,-1,U,Wis,1,,,,
ACP,0,,,,,,Sleight of Hand,4,4,0,0,4,T,Dex,1,,,,
Robe +5,5,24,Max,AC,,,Speak Language,0,,0,,,T,None,1,,,,
Deflection Ring,2,16,Touch,,,,Spellcraft,11,,11,0,0,T,Int,2,,11,,===========
Natural Amulet,3,20,Unaware,,,,Spot,1,,0,2,-1,U,Wis,1,,,,
Dex,4,,,,,,Survival,-1,,0,,-1,U,Wis,1,,,,
Shield,0,,,,,,Swim,-2,-2,0,,-2,U,Str,1,,,,
Spell Resistance 18,,,,,,,Tumble,5,5,1,0,4,T,Dex,1,,2,,=
Languages,Common,,,,,,Use M D,7,,1,,6,T,Cha,1,,2,,=
,Elven,,,,,,Use Rope,4,,0,,4,U,Dex,1,,,,
Racial,+2 vs. Enchantment,,,,,,,,,,,,,,,28,/32,,0
,Immune to Sleep,,,,,,Attacks,,,,,,,,,,,,
,Low-light Vision,,,,,,,D.B.,A.B.,Attk,Die,Dam,,Crit,,Range,,,
,Auto-search w/i 5’,,,,,,"Crossbow, Light",0,0,10,1d8,1d8,,19-20 x2,,80ft/800ft,,,
,"+2 to Search, Spot, Listen",,,,,,"Dagger, stab",-2,0,4,1d4,1d4-2,,19-20 x2,,,,,
Proficient,Simple Weapons,,,,,,"Dagger, throw",-2,0,10,1d4,1d4-2,,19-20 x2,,(10ft/50ft),,,
Feats,Improved Initiative,,,,,,,-2,0,4,1d4,1d4-2,,x2,,,,,
3,Improved Toughness,,,,,,,,,,,,,,,,,,
6,Still Spell (+1 spell level; full round action),,,,,,-2 to attack roll for every range increment the target is away.,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Horse,22 HP,,,,,,,,,,,,,,,,,,
